name,my_project,published,description,homepage,html_url,logo_url,topics,date,evernote_url,see_also,inspiration_reference
carbon-footprint,Y,N,Calculating our household carbon footprint in 2017,,,,"green,home",,https://share.evernote.com/note/c9329f1b-9d84-4b60-81cc-f3827703a1e6,,
chernoff,Y,Y,A visual mood indicator. One of the first Java programs I ever wrote.,http://tomwhite.github.io/chernoff/,https://github.com/tomwhite/chernoff,,visualization,1997-04-01,,,Pickover
chess,Y,N,Raw data for chess puzzle results,,,,games,,https://share.evernote.com/note/176e7fb0-1970-4547-a2d6-8cc8a89c1ad2,,
chinesechequers,Y,N,Play Chinese Chequers against the computer,,https://github.com/tomwhite/chinesechequers,,games,,https://share.evernote.com/note/74b55ebf-02fb-40a2-92bf-376142c596b7,,
core,Y,N,Old common Java code,,https://github.com/tomwhite/core,,,,,,
core-war,Y,N,Core war newsletters,,,,,,https://share.evernote.com/note/c82ce3b7-40e8-7f9c-ff40-e7110ec00d3a,,"A. K. Dewdney, 'The Armchair Universe'"
covid-19,Y,N,Pre-cursor to covid-19-uk-data,,,,,,,,
covid-19-uk-data,Y,N,COVID-19 UK Historical Data,,https://github.com/tomwhite/covid-19-uk-data,,,,,,
crick-archive-catalog,Y,N,Scripts for processing CDAC catalog metadata,,,,local-community,,,,
crick-parking,Y,N,Crickhowell Car Park Analysis,,https://github.com/tomwhite/crick-parking,,local-community,,,,
crick1881,Y,N,"Scripts for creating visualizations for Eliane's book ""Crickhowell 1881""",,,,local-history,,,,
cubed-async,Y,N,Throwaway code for making Cubed async,,,,arrays,,,,
cubesum,Y,Y,The sum of the first n cubes equals the square of the sum of the first n numbers.,http://tomwhite.github.io/cubesum,https://github.com/tomwhite/cubesum,,visualization,2015-10-01,,,"Martin Gardner, Knotted Doughnuts"
d3troit,Y,Y,A d3 visualization of the changing populations of the largest cities in the US,http://tomwhite.github.io/d3troit/index.html,https://github.com/tomwhite/d3troit,,visualization,2012-07-01,,,
dask,N,N,,,,,,,,,
dask-cloud-gpu,Y,N,Investigation for running Dask on GPUs,,,,arrays,,,,
dask-executor-scheduler,Y,N,A Dask scheduler that uses a Python _concurrent.futures.Executor_ to run tasks.,,https://github.com/tomwhite/dask-executor-scheduler,,arrays,,,,
datashader,N,N,,,,,,,,,
datashader-leaflet,Y,N,Using Leaflet to view Datashader visualizations,,,,visualization,,,,
datavision,Y,Y,A weekly data visualization in 2020,http://tom-e-white.com/datavision/,https://github.com/tomwhite/datavision-code,,visualization,2020-01-01,,,
datavision-code,Y,N,Code for Datavision 2020,https://tom-e-white.com/datavision/,https://github.com/tomwhite/datavision-code,,visualization,,,,
david,Y,Y,From what position will a statue such as this appear of maximum size?,https://observablehq.com/@tomwhite/david,https://github.com/tomwhite/david,,visualization,2023-02-01,,,"""The Penguin Dictionary of Curious and Interesting Geometry"" by David Wells (p3)"
dboard,Y,N,A dashboard for Type 1 Diabetes.,,https://github.com/tomwhite/dboard,,"t1d,visualization",,https://share.evernote.com/note/aec18458-d913-4d2a-9001-925fb3a4a2c7,,
dboard-js,Y,N,Javascript version of dboard,,,,"t1d,visualization",,https://share.evernote.com/note/3810ac8b-5b14-45de-8720-215ff0ebce51,,
diabetes-site-rotation,Y,N,Diagram for injection sites,,,,t1d,,,,
diffdiff,Y,N,Automatic differentiation of computer functions,,https://github.com/tomwhite/diffdiff,,,,https://share.evernote.com/note/a98bd0cd-84aa-49d3-81dd-4eab1498cf33,,
dusk,Y,Y,A program to plot the time of dusk over the year for any given location on the Earth's surface,http://tomwhite.github.io/dusk/,https://github.com/tomwhite/dusk,,visualization,2014-01-01,,,
earth-moon-game,Y,Y,A game: how far is the Moon from the Earth?,https://tomwhite.github.io/earth-moon-game,https://github.com/tomwhite/earth-moon-game,,"games,visualization",2013-03-01,,,
edge-detection,Y,N,Find an egg shape from an input image,,,,,,,,
egg-construction,Y,Y,Compass constructions for egg shapes from 'Mathographics' by Robert Dixon,http://tomwhite.github.io/egg-construction/index.html,https://github.com/tomwhite/egg-construction,,visualization,2013-09-01,,,Mathographics' by Robert Dixon
egg-fitting,Y,N,Fitting egg shapes,,,,,,https://share.evernote.com/note/7cea3e75-14f6-4922-a7bd-16edbe9fc8a0,,
enigma,Y,N,A few New Scientist Enigma puzzle solutions,,,,,,,,
facebender,Y,Y,A project from A. K. Dewdney's 'The Armchair Universe' for producing caricatures.,https://github.com/tomwhite/facebender,https://github.com/tomwhite/facebender,,visualization,2002-04-01,https://share.evernote.com/note/540f22fb-dbb9-4b0a-898e-5c1285217637,,"A. K. Dewdney, 'The Armchair Universe'"
false-summits,Y,Y,Visualizing false summits from GPX route traces,https://tom-e-white.com/false-summits/,https://github.com/tomwhite/false-summits,,visualization,2025-05-30,https://share.evernote.com/note/2443ea0c-58cc-b628-d59a-19005ab11b78,,
ffawyddog.com,Y,N,Ffawyddog Phonebox website,https://ffawyddog.com/,https://github.com/tomwhite/ffawyddog.com,,local-community,,https://share.evernote.com/note/8b838a16-69be-4a3a-0172-042b08e33c8f,,
freeloader,Y,N,Recreation of a cooperative group game from the Exploratorium in SF,,,,games,,https://share.evernote.com/note/d8ea9e2c-ef50-4f44-b962-1840f2cf426e,,"The Exploratorium, SF"
futoshiki,Y,N,Futoshiki solver using MiniZinc and js (superceded by futoshiki-hints),,,,games,,,futoshiki-hints,
futoshiki-hints,Y,Y,Futoshiki puzzle hints for humans,https://github.com/tomwhite/futoshiki-hints,https://github.com/tomwhite/futoshiki-hints,,games,2021-02-01,https://share.evernote.com/note/528855e5-36e5-4e28-9012-cfed7b0e046b,futoshiki,
ga,Y,N,A simple Java package for writing genetic algorithms (GAs).,,https://github.com/tomwhite/ga,,,,,,
gaussian-primes,Y,Y,Visualization of Gaussian primes,http://tomwhite.github.io/gaussian-primes/xmas-lines.html,https://github.com/tomwhite/gaussian-primes,,visualization,2009-12-01,,,"The Book of Numbers, Conway and Guy"
ge-2024,Y,Y,An animation that relives the night of the Labour landslide,https://tom-e-white.com/ge-2024/,https://github.com/tomwhite/ge-2024,,visualization,2024-07-01,,,
guac,Y,N,Exploring the genetic code,,https://github.com/tomwhite/guac,,"visualization,genomics",,https://share.evernote.com/note/faeaf70a-9049-4a3e-be86-a9eecf97334c,,
gutted,Y,N,Investigating gut health,,,,,,https://share.evernote.com/note/8bad1f9f-b89e-cf0f-a4fd-41cd0d4be9f4,,
hadoopbook.com,Y,N,"Example source code accompanying O'Reilly's ""Hadoop: The Definitive Guide"" by Tom White",http://www.hadoopbook.com/,https://github.com/tomwhite/hadoop-book,,hadoop,,,,
heightcharts,Y,N,"Height data for the girls, and code to produce charts",,,,"family,visualization",,,,
